20 4
1 2 37
1 3 17
1 4 55
1 5 29
1 6 39
1 7 96
1 8 38
1 9 20
1 10 18
1 11 21
1 12 3
1 13 63
1 14 92
1 15 44
1 16 15
1 17 10
1 18 12
1 19 62
1 20 56
2 3 6
2 4 51
2 5 22
2 6 85
2 7 17
2 8 36
2 9 67
2 10 71
2 11 97
2 12 98
2 13 12
2 14 73
2 15 95
2 16 35
2 17 16
2 18 43
2 19 22
2 20 94
3 4 26
3 5 42
3 6 2
3 7 20
3 8 54
3 9 35
3 10 56
3 11 80
3 12 28
3 13 53
3 14 76
3 15 46
3 16 44
3 17 34
3 18 24
3 19 69
3 20 91
4 5 86
4 6 11
4 7 86
4 8 19
4 9 5
4 10 52
4 11 74
4 12 42
4 13 77
4 14 37
4 15 20
4 16 80
4 17 57
4 18 5
4 19 8
4 20 78
5 6 63
5 7 6
5 8 26
5 9 1
5 10 85
5 11 77
5 12 59
5 13 66
5 14 12
5 15 66
5 16 5
5 17 19
5 18 40
5 19 73
5 20 97
6 7 73
6 8 87
6 9 53
6 10 83
6 11 3
6 12 45
6 13 9
6 14 83
6 15 25
6 16 17
6 17 89
6 18 95
6 19 2
6 20 53
7 8 20
7 9 63
7 10 31
7 11 9
7 12 97
7 13 47
7 14 25
7 15 7
7 16 26
7 17 55
7 18 49
7 19 80
7 20 83
8 9 3
8 10 65
8 11 35
8 12 41
8 13 63
8 14 35
8 15 48
8 16 13
8 17 18
8 18 73
8 19 76
8 20 2
9 10 88
9 11 25
9 12 41
9 13 13
9 14 47
9 15 95
9 16 50
9 17 17
9 18 19
9 19 15
9 20 5
10 11 10
10 12 77
10 13 63
10 14 27
10 15 14
10 16 95
10 17 30
10 18 70
10 19 2
10 20 57
11 12 55
11 13 34
11 14 59
11 15 97
11 16 38
11 17 44
11 18 26
11 19 42
11 20 14
12 13 88
12 14 35
12 15 34
12 16 69
12 17 55
12 18 12
12 19 49
12 20 7
13 14 91
13 15 77
13 16 6
13 17 2
13 18 42
13 19 11
13 20 8
14 15 6
14 16 91
14 17 90
14 18 27
14 19 47
14 20 88
15 16 45
15 17 84
15 18 0
15 19 59
15 20 32
16 17 25
16 18 41
16 19 78
16 20 49
17 18 73
17 19 73
17 20 25
18 19 3
18 20 17
19 20 93
