30 5
1 2 37
1 3 17
1 4 55
1 5 29
1 6 39
1 7 96
1 8 38
1 9 20
1 10 18
1 11 21
1 12 3
1 13 63
1 14 92
1 15 44
1 16 15
1 17 10
1 18 12
1 19 62
1 20 56
1 21 17
1 22 42
1 23 11
1 24 93
1 25 72
1 26 44
1 27 11
1 28 93
1 29 75
1 30 40 
2 3 6
2 4 51
2 5 22
2 6 85
2 7 17
2 8 36
2 9 67
2 10 71
2 11 97
2 12 98
2 13 12
2 14 73
2 15 95
2 16 35
2 17 16
2 18 43
2 19 22
2 20 94
2 21 44
2 22 97
2 23 15
2 24 41
2 25 27
2 26 28
2 27 49
2 28 82
2 29 86
2 30 27 
3 4 26
3 5 42
3 6 2
3 7 20
3 8 54
3 9 35
3 10 56
3 11 80
3 12 28
3 13 53
3 14 76
3 15 46
3 16 44
3 17 34
3 18 24
3 19 69
3 20 91
3 21 34
3 22 68
3 23 75
3 24 20
3 25 88
3 26 68
3 27 59
3 28 31
3 29 5
3 30 78 
4 5 86
4 6 11
4 7 86
4 8 19
4 9 5
4 10 52
4 11 74
4 12 42
4 13 77
4 14 37
4 15 20
4 16 80
4 17 57
4 18 5
4 19 8
4 20 78
4 21 5
4 22 88
4 23 48
4 24 68
4 25 30
4 26 6
4 27 87
4 28 36
4 29 68
4 30 77 
5 6 63
5 7 6
5 8 26
5 9 1
5 10 85
5 11 77
5 12 59
5 13 66
5 14 12
5 15 66
5 16 5
5 17 19
5 18 40
5 19 73
5 20 97
5 21 81
5 22 42
5 23 21
5 24 19
5 25 40
5 26 13
5 27 58
5 28 91
5 29 64
5 30 41
6 7 73
6 8 87
6 9 53
6 10 83
6 11 3
6 12 45
6 13 9
6 14 83
6 15 25
6 16 17
6 17 89
6 18 95
6 19 2
6 20 53
6 21 81
6 22 19
6 23 21
6 24 91
6 25 13
6 26 7
6 27 57
6 28 37
6 29 53
6 30 62
7 8 20
7 9 63
7 10 31
7 11 9
7 12 97
7 13 47
7 14 25
7 15 7
7 16 26
7 17 55
7 18 49
7 19 80
7 20 83
7 21 55
7 22 6
7 23 25
7 24 48
7 25 55
7 26 9
7 27 5
7 28 90
7 29 32
7 30 23
8 9 3
8 10 65
8 11 35
8 12 41
8 13 63
8 14 35
8 15 48
8 16 13
8 17 18
8 18 73
8 19 76
8 20 2
8 21 18
8 22 65
8 23 8
8 24 39
8 25 19
8 26 62
8 27 61
8 28 12
8 29 46
8 30 14
9 10 88
9 11 25
9 12 41
9 13 13
9 14 47
9 15 95
9 16 50
9 17 17
9 18 19
9 19 15
9 20 5
9 21 17
9 22 86
9 23 64
9 24 100
9 25 72
9 26 56
9 27 84
9 28 50
9 29 28
9 30 47
10 11 10
10 12 77
10 13 63
10 14 27
10 15 14
10 16 95
10 17 30
10 18 70
10 19 2
10 20 57
10 21 57
10 22 53
10 23 48
10 24 43
10 25 56
10 26 49
10 27 87
10 28 60
10 29 2
10 30 6 
11 12 55
11 13 34
11 14 59
11 15 97
11 16 38
11 17 44
11 18 26
11 19 42
11 20 14
11 21 63
11 22 89
11 23 20
11 24 12
11 25 3
11 26 60
11 27 99
11 28 49
11 29 44
11 30 74 
12 13 88
12 14 35
12 15 34
12 16 69
12 17 55
12 18 12
12 19 49
12 20 7
12 21 85
12 22 9
12 23 89
12 24 39
12 25 75
12 26 42
12 27 43
12 28 57
12 29 80
12 30 45  
13 14 91
13 15 77
13 16 6
13 17 2
13 18 42
13 19 11
13 20 8
13 21 26
13 22 4
13 23 31
13 24 95
13 25 52
13 26 73
13 27 41
13 28 92
13 29 8
13 30 8 
14 15 6
14 16 91
14 17 90
14 18 27
14 19 47
14 20 88
14 21 94
14 22 9
14 23 3
14 24 45
14 25 67
14 26 32
14 27 29
14 28 74
14 29 99
14 30 98 
15 16 45
15 17 84
15 18 0
15 19 59
15 20 32
15 21 45
15 22 83
15 23 35
15 24 87
15 25 79
15 26 4
15 27 92
15 28 87
15 29 44
15 30 43 
16 17 25
16 18 41
16 19 78
16 20 49
16 21 14
16 22 52
16 23 81
16 24 62
16 25 85
16 26 36
16 27 93
16 28 60
16 29 25
16 30 81 
17 18 73
17 19 73
17 20 25
17 21 22
17 22 86
17 23 81
17 24 0
17 25 34
17 26 48
17 27 4
17 28 83
17 29 10
17 30 53 
18 19 3
18 20 17
18 21 62
18 22 24
18 23 22
18 24 11
18 25 6
18 26 1
18 27 89
18 28 70
18 29 70
18 30 13 
19 20 93
19 21 44
19 22 49
19 23 69
19 24 68
19 25 42
19 26 33
19 27 19
19 28 25
19 29 75
19 30 54 
20 21 24
20 22 41
20 23 42
20 24 100
20 25 30
20 26 88
20 27 54
20 28 38
20 29 35
20 30 4 
21 22 81
21 23 60
21 24 19
21 25 63
21 26 96
21 27 28
21 28 45
21 29 5
21 30 7 
22 23 72
22 24 69
22 25 53
22 26 30
22 27 7
22 28 51
22 29 20
22 30 59 
23 24 28
23 25 9
23 26 8
23 27 50
23 28 53
23 29 86
23 30 90 
24 25 52
24 26 20
24 27 45
24 28 56
24 29 38
24 30 12 
25 26 94
25 27 98
25 28 64
25 29 79
25 30 89 
26 27 11
26 28 22
26 29 0
26 30 41 
27 28 78
27 29 76
27 30 38 
28 29 17
28 30 94
29 30 8
